question
В компании (на вечеринке) Вы а) общаетесь со многими    включая и незнакомцев  б) общаетесь с немногими - Вашими знакомыми
Вы человек скорее а) реалистичный    чем склонный теоретизировать   б) склонный теоретизировать    чем реалистичный
По-вашему что хуже: а) витать в облаках    б) придерживаться проторенной дорожки
Вы более подвержены влиянию а) принципов    законов    б) эмоций    чувств
Вы более склонны а) убеждать    б) затрагивать чувства
Вы предпочитаете работать а) выполняя все точно в срок    б) не связывая себя определенными сроками
Вы склонны делать выбор а) довольно осторожно    б) внезапно    импульсивно
В компании (на вечеринке) Вы а) остаетесь допоздна    не чувствуя усталости    б) быстро утомляетесь и предпочитаете пораньше уйти
Вас более привлекают а) здравомыслящие люди    б) люди с богатым воображением
Вам интересно а) то    что происходит в действительности    б) те события    которые могут произойти
Оценивая поступки людей    Вы больше учитываете а) требования закона    чем обстоятельства    б) обстоятельства    чем требования закона
Обращаясь к другим    Вы склонны а) соблюдать формальности    этикет    б) проявлять свои личные    индивидуальные качества
Вы человек скорее а) точный    пунктуальный    б) неторопливый    медлительный
Вас больше беспокоит необходимость а) оставлять дела незаконченными    б) непременно доводить дела до конца
В кругу знакомых Вы    как правило а) в курсе происходящих событий    б) узнаете о новостях с опозданием
Повседневные дела Вам нравится делать а) общепринятым способом   б) своим оригинальным способом
Предпочитаю таких писателей    которые а) выражаются буквально   напрямую    б) пользуются аналогиями    иносказаниями
Что Вас больше привлекает а) стройность мысли    б) гармония человеческих отношений
Вы чувствуете себя увереннее а) в логических умозаключениях    б) в практических оценках ситуаций
Вы предпочитаете  когда дела а) решены и устроены    б) не решены и пока не улажены
Как по-вашему  Вы человек    скорее а) серьезный    определенный    б) беззаботный    беспечный
При телефонных разговорах Вы а) заранее не продумываете все    что нужно сказать    б) мысленно репетируете то    что будет сказано
Как Вы считаете  факты а) важны сами по себе    б) есть проявления общих закономерностей
Фантазеры  мечтатели обычно а) раздражают Вас    б) довольно симпатичны Вам
Вы чаще действуете как человек а) хладнокровный    б) вспыльчивый    горячий
Как по-вашему  хуже быть а) несправедливым   б) беспощадным
Обычно Вы предпочитаете действовать а) тщательно взвесив все возможности    б) полагаясь на волю случая
Вам приятнее а) покупать что-нибудь    б) иметь возможность купить
В компании Вы    как правило а) первым заводите беседу    б) ждете    когда с Вами заговорят
Здравый смысл а) редко ошибается    б) часто попадает впросак
Детям часто не хватает а) практичности    б) воображения
В принятии решений Вы руководствуетесь скорее а) принятыми нормами    б) своими чувствами    ощущениями
Вы человек скорее а) твердый    чем мягкий    б) мягкий    чем твердый
Что    по-вашему    больше впечатляет а) умение методично организовать    б) умение приспособиться и довольствоваться достигнутым
Вы больше цените а) определенность    законченность    б) открытость    многовариантность
Новые и нестандартные отношения с людьми а) стимулируют    придают Вам энергии    б} утомляют Вас
Вы чаще действуете как а) человек практического склада    б) человек оригинальный    необычный
Вы более склонны а) находить пользу в отношениях с людьми    б) понимать мысли и чувства других
Что приносит Вам больше удовлетворения а) тщательное и всесторонне обсуждение спорного вопроса    б) достижение соглашения по поводу спорного вопроса
Вы руководствуетесь более а) рассудком    б) велениями сердца
Вам удобнее выполнять работу а) по предварительной договоренности    б) которая подвернулась случайно
Вы обычно полагаетесь а) на организованность    порядок    б) на случайность    неожиданность
Вы предпочитаете иметь а) много друзей на непродолжительный срок    б) несколько старых друзей
Вы руководствуетесь в большей степени а) фактами    обстоятельствами    б) общими положениями    принципами
Вас больше интересуют а) производство и сбыт продукции    б) проектирование и исследования
Что Вы считаете за комплимент а) *Вот очень логичный человек*    б) *Вот тонко чувствующий человек*
Вы более цените в себе а) невозмутимость    б) увлеченность
Вы предпочитаете высказывать а) окончательные и определенные утверждения    б) предварительные и неоднозначные утверждения
Вы лучше чувствуете себя а) после принятия решения    б) не ограничивая себя решениями
Общаясь с незнакомыми    Вы а) легко завязываете продолжительные беседы    б) не всегда находите общие темы для разговора
Вы больше доверяете а) своему опыту    б) своим предчувствиям
Вы чувствуете себя человеком а) более практичным    чем изобретательным    б) более изобретательным    чем практичным
Кто заслуживает большего одобрения - а) рассудительный    здравомыслящий человек    б) человек    глубоко переживающий
Вы более склонны а) быть прямым и беспристрастным    б) сочувствовать людям
Что    по-вашему    предпочтительней а) удостовериться    что все подготовлено и улажено    б) предоставить событиям идти своим чередом
Отношения между людьми должны строиться а) на предварительной взаимной договоренности    б) в зависимости от обстоятельств
Когда звонит телефон    Вы а) торопитесь подойти первым    б) надеетесь    что подойдет кто-нибудь другой
Что Вы цените в себе больше а) развитое чувство реальности    б) пылкое воображение
Вы больше придаете значение а) тому    что сказано    б) тому    как сказано
Вы в основном считаете себя а) трезвым и практичным    б) сердечным и отзывчивым
Что выглядит большим заблуждением а) излишняя пылкость    горячность    б) чрезмерная объективность    беспристрастность
Какие ситуации привлекают Вас больше а) регламентированные и упорядоченные    б) неупорядоченные и нерегламентированные
Вы человек    скорее а) педантичный    чем капризный    б) капризный    чем педантичный
Вы чаще склонны а) быть открытым    доступным людям    б) быть сдержанным    скрытным
В литературных произведениях Вы предпочитаете а) буквальность    конкретность    б) образность    переносный смысл
Что для Вас труднее а) находить общий язык с другими    б) использовать других в своих интересах
Чего бы вы себе больше пожелали а) ясности размышлений    б) умения сочувствовать
Что хуже а) быть неприхотливым    б) быть излишне привередливым
Вы предпочитаете а) запланированные события    б) незапланированные события
Вы склонны поступать скорее а) обдуманно    чем импульсивно    б) импульсивно    чем обдуманно
